filename,type,distorted_mae,rectified_mae,mae_improvement_percent,distorted_rmse,rectified_rmse,rmse_improvement_percent
FAMILY-35__CHILD__FM035_C3__elastic.png,elastic,11.0909395,11.465482,-3.377011,25.738403,25.656042,0.31999353
FAMILY-35__CHILD__FM035_C3__local.png,local,6.9698462,11.325753,-62.49646,15.321415,23.60626,-54.07363
FAMILY-35__CHILD__FM035_C4__bending.png,bending,8.170858,6.1881776,24.26527,19.681252,14.557328,26.03454
FAMILY-35__CHILD__FM035_C4__elastic.png,elastic,11.59937,9.348474,19.405334,28.166515,21.852345,22.417295
FAMILY-35__CHILD__FM035_C4__local.png,local,7.1677494,8.344767,-16.421015,17.088757,19.402626,-13.540304
FAMILY-35__CHILD__FM035_C5__bending.png,bending,7.913963,4.0749364,48.509533,23.396013,9.078959,61.194412
FAMILY-35__CHILD__FM035_C5__elastic.png,elastic,7.466996,6.211894,16.808662,21.807577,16.79403,22.989935
FAMILY-35__CHILD__FM035_C5__local.png,local,4.8262315,8.708924,-80.44978,12.977765,23.471395,-80.858536
FAMILY-35__FATHER__FM035_F1__bending.png,bending,10.947346,6.841378,37.50651,24.518812,14.87099,39.34865
FAMILY-35__FATHER__FM035_F1__elastic.png,elastic,8.9491,10.868383,-21.44667,19.618462,24.099512,-22.840988
FAMILY-35__FATHER__FM035_F1__local.png,local,7.4384766,10.135025,-36.251354,16.745464,21.268229,-27.008892
FAMILY-35__FATHER__FM035_F2__bending.png,bending,7.8708744,5.5891066,28.990019,19.935286,11.877689,40.418766
FAMILY-35__FATHER__FM035_F2__elastic.png,elastic,11.262615,9.901826,12.082356,28.448126,23.992842,15.661081
FAMILY-35__FATHER__FM035_F2__local.png,local,7.195233,7.0073543,2.6111538,18.743681,16.715105,10.822719
FAMILY-35__FATHER__FM035_F3__bending.png,bending,6.911173,6.057278,12.355279,14.611203,12.909759,11.644794
FAMILY-35__FATHER__FM035_F3__elastic.png,elastic,12.141362,11.281928,7.078564,24.797401,22.535412,9.1218815
FAMILY-35__FATHER__FM035_F3__local.png,local,7.039282,6.919663,1.6993053,15.092227,13.556815,10.173527
FAMILY-35__FATHER__FM035_F4__bending.png,bending,7.8166256,6.9328566,11.306273,20.391918,16.555315,18.814331
FAMILY-35__FATHER__FM035_F4__elastic.png,elastic,10.8528185,11.3665495,-4.7336183,27.337944,27.414917,-0.2815609
FAMILY-35__FATHER__FM035_F4__local.png,local,7.5574975,8.747987,-15.752427,19.16298,21.283766,-11.067102
FAMILY-35__FATHER__FM035_F5__bending.png,bending,8.529017,5.945452,30.291477,19.968046,12.074309,39.531845
FAMILY-35__FATHER__FM035_F5__elastic.png,elastic,9.448979,9.051698,4.2044926,21.595695,19.877022,7.9584084
FAMILY-35__FATHER__FM035_F5__local.png,local,7.924386,7.675861,3.1362069,17.642822,15.994919,9.340362
FAMILY-35__MOTHER__FM035_M1__bending.png,bending,7.4833784,6.0214643,19.535482,16.107264,12.136815,24.65005
FAMILY-35__MOTHER__FM035_M1__elastic.png,elastic,10.91456,11.016861,-0.937286,24.615585,23.325598,5.2405314
FAMILY-35__MOTHER__FM035_M1__local.png,local,5.7405133,7.6083784,-32.538296,12.329814,17.197975,-39.482845
FAMILY-35__MOTHER__FM035_M2__bending.png,bending,10.544125,5.2192283,50.50108,23.5727,9.851268,58.208996
FAMILY-35__MOTHER__FM035_M2__elastic.png,elastic,11.312081,10.928771,3.388504,25.33731,24.372286,3.808711
FAMILY-35__MOTHER__FM035_M2__local.png,local,6.4674344,7.9305444,-22.622725,14.360485,17.154282,-19.45475
FAMILY-35__MOTHER__FM035_M3__bending.png,bending,9.151945,5.2401347,42.74294,23.3004,11.138082,52.1979
FAMILY-35__MOTHER__FM035_M3__elastic.png,elastic,8.870795,8.2546835,6.9453945,21.845146,18.650908,14.6221895
FAMILY-35__MOTHER__FM035_M3__local.png,local,5.836356,6.682418,-14.496403,14.238839,15.214178,-6.8498483
FAMILY-35__MOTHER__FM035_M4__bending.png,bending,7.270388,5.216797,28.245964,20.387503,11.701307,42.605488
FAMILY-35__MOTHER__FM035_M4__elastic.png,elastic,8.868104,8.296416,6.4465604,23.565556,20.893238,11.33993
FAMILY-35__MOTHER__FM035_M4__local.png,local,5.2896605,6.441705,-21.779182,13.244469,14.312798,-8.066227
FAMILY-35__MOTHER__FM035_M5__bending.png,bending,7.917112,4.6576653,41.169643,21.372515,10.4680605,51.02092
FAMILY-35__MOTHER__FM035_M5__elastic.png,elastic,9.796496,8.25265,15.759166,25.521204,19.963806,21.77561
FAMILY-35__MOTHER__FM035_M5__local.png,local,4.3811984,7.5550265,-72.44201,9.488357,17.459047,-84.00497
FAMILY-45__CHILD__FM045_C1__bending.png,bending,7.292351,7.1070433,2.5411217,11.757902,11.032971,6.1654773
FAMILY-45__CHILD__FM045_C1__elastic.png,elastic,8.39784,8.475447,-0.9241324,13.104749,12.880573,1.7106428
FAMILY-45__CHILD__FM045_C1__local.png,local,6.882434,8.179867,-18.851368,11.184999,12.350745,-10.422403
FAMILY-45__CHILD__FM045_C2__bending.png,bending,4.696887,5.086595,-8.297155,7.697525,8.017642,-4.1587005
FAMILY-45__CHILD__FM045_C2__elastic.png,elastic,5.4413066,5.6734495,-4.266309,9.154134,9.181065,-0.29419288
FAMILY-45__CHILD__FM045_C2__local.png,local,4.3399835,4.847796,-11.700793,7.147798,7.91641,-10.753129
FAMILY-45__CHILD__FM045_C3__bending.png,bending,5.6000876,4.666534,16.67034,9.659724,7.5271297,22.077179
FAMILY-45__CHILD__FM045_C3__elastic.png,elastic,5.5243344,5.6762595,-2.7501068,9.148764,8.912902,2.5780725
FAMILY-45__CHILD__FM045_C3__local.png,local,4.286731,4.6966476,-9.562459,7.023082,7.7290506,-10.052124
FAMILY-45__CHILD__FM045_C4__bending.png,bending,4.7442603,3.7585697,20.776485,7.904305,6.160138,22.066038
FAMILY-45__CHILD__FM045_C4__elastic.png,elastic,4.1868625,4.722736,-12.798926,6.805853,7.576599,-11.324756
FAMILY-45__CHILD__FM045_C4__local.png,local,4.3208504,5.357302,-23.987219,7.038446,8.651106,-22.912159
FAMILY-45__CHILD__FM045_C5__bending.png,bending,3.9735131,4.148358,-4.4002557,6.604142,6.6926894,-1.3407832
FAMILY-45__CHILD__FM045_C5__elastic.png,elastic,4.295081,4.804209,-11.853747,7.1609397,7.8469725,-9.580206
FAMILY-45__CHILD__FM045_C5__local.png,local,3.814493,4.359056,-14.276159,6.2135577,7.0352583,-13.224318
FAMILY-45__FATHER__FM045_F1__bending.png,bending,3.7556999,3.9200416,-4.375794,6.783517,6.5621266,3.2636502
FAMILY-45__FATHER__FM045_F1__elastic.png,elastic,3.786691,4.395189,-16.069382,6.281285,7.4268665,-18.238016
FAMILY-45__FATHER__FM045_F1__local.png,local,3.736986,4.236866,-13.376558,6.1859746,7.2965755,-17.953533
FAMILY-45__FATHER__FM045_F2__bending.png,bending,5.4089007,4.4766026,17.236372,9.752202,7.668047,21.371122
FAMILY-45__FATHER__FM045_F2__elastic.png,elastic,5.7308474,5.859056,-2.2371671,10.275873,10.155227,1.1740751
FAMILY-45__FATHER__FM045_F2__local.png,local,5.078723,5.042391,0.7153793,9.052948,8.1873255,9.561775
FAMILY-45__FATHER__FM045_F3__bending.png,bending,4.569635,4.65621,-1.8945721,7.328065,7.315933,0.16555108
FAMILY-45__FATHER__FM045_F3__elastic.png,elastic,4.7189293,5.1223097,-8.548134,7.5341682,7.8512497,-4.208579
FAMILY-45__FATHER__FM045_F3__local.png,local,4.61075,5.0794005,-10.164297,7.300824,7.801426,-6.8567843
FAMILY-45__FATHER__FM045_F4__bending.png,bending,4.3277063,4.0308113,6.860332,6.9200444,6.2431755,9.7812805
FAMILY-45__FATHER__FM045_F4__elastic.png,elastic,4.948382,5.236448,-5.8214164,7.9994516,8.160226,-2.0098157
FAMILY-45__FATHER__FM045_F4__local.png,local,4.2214007,4.665577,-10.52201,6.7079144,7.153354,-6.640511
FAMILY-45__FATHER__FM045_F5__bending.png,bending,4.3984375,4.3467994,1.1740108,7.2761064,6.948943,4.496405
FAMILY-45__FATHER__FM045_F5__elastic.png,elastic,4.151487,4.9465084,-19.150284,6.7083006,7.8349905,-16.79546
FAMILY-45__FATHER__FM045_F5__local.png,local,4.180086,4.702228,-12.491177,6.791413,7.4625726,-9.882476
FAMILY-45__MOTHER__FM045_M1__bending.png,bending,4.4393535,4.140306,6.7362843,7.4906206,6.571271,12.273344
FAMILY-45__MOTHER__FM045_M1__elastic.png,elastic,4.796556,5.1410637,-7.182397,7.892617,8.10086,-2.6384456
FAMILY-45__MOTHER__FM045_M1__local.png,local,4.3747807,4.662169,-6.5692053,7.0461235,7.6508155,-8.58191
FAMILY-45__MOTHER__FM045_M2__bending.png,bending,4.651507,4.4043565,5.313341,7.4028087,6.7576737,8.714732
