family,member,image,distortion_type,clean_count,distorted_count,rectified_count,clean_quality,distorted_quality,rectified_quality,clean_endings,distorted_endings,rectified_endings,clean_bifurcations,distorted_bifurcations,rectified_bifurcations,distorted_matched,rectified_matched,distorted_match_rate,rectified_match_rate,distorted_mean_distance,rectified_mean_distance,distorted_median_distance,rectified_median_distance
FAMILY-54,MOTHER,FM054_M4.png,bending,24,16,5,0.4652083218097687,0.40837499499320984,0.5610000491142273,15,12,3,9,4,2,8,3,0.3333333333333333,0.125,9.205235242843628,4.87192440032959,9.330566883087158,4.0
FAMILY-54,MOTHER,FM054_M5.png,bending,24,11,15,0.3721666634082794,0.3569999933242798,0.3380666673183441,13,5,8,11,6,7,8,6,0.3333333333333333,0.25,11.152380153536797,7.520220438639323,12.53915548324585,7.245606184005737
FAMILY-65,CHILD,FM065_C1.png,bending,55,57,58,0.7708002328872681,0.7414385676383972,0.7094999551773071,49,50,50,6,7,8,35,31,0.6363636363636364,0.5636363636363636,6.9188373633793425,9.869844259754304,6.324555397033691,11.045360565185547
FAMILY-65,CHILD,FM065_C2.png,bending,44,36,43,0.47300001978874207,0.41830554604530334,0.4034186601638794,29,24,28,15,12,15,23,18,0.5227272727272727,0.4090909090909091,8.78948852290278,9.04210180706448,8.5440034866333,10.319172859191895
FAMILY-65,CHILD,FM065_C3.png,bending,14,25,15,0.48321428894996643,0.45100003480911255,0.4803332984447479,11,20,14,3,5,1,8,5,0.5714285714285714,0.35714285714285715,4.864791974425316,7.980458974838257,3.581138849258423,6.4031243324279785
FAMILY-65,CHILD,FM065_C4.png,bending,50,45,40,0.40084004402160645,0.4092000424861908,0.3932499885559082,30,27,22,20,18,18,26,14,0.52,0.28,8.861903607845306,6.820863374641964,8.714776515960693,7.175588846206665
FAMILY-65,CHILD,FM065_C5.png,bending,18,1,5,0.33427777886390686,0.4950000047683716,0.36739999055862427,10,1,3,8,0,2,0,2,0.0,0.1111111111111111,,8.501917123794556,,8.501917123794556
FAMILY-65,FATHER,FM065_F1.png,bending,0,0,0,,,,0,0,0,0,0,0,0,0,0.0,0.0,,,,
FAMILY-65,FATHER,FM065_F2.png,bending,0,3,2,,0.4216666519641876,0.4950000047683716,0,2,2,0,1,0,0,0,0.0,0.0,,,,
FAMILY-65,FATHER,FM065_F3.png,bending,7,4,9,0.400714248418808,0.32999998331069946,0.3972221910953522,4,1,5,3,3,4,3,4,0.42857142857142855,0.5714285714285714,9.362318356831869,8.772361159324646,11.045360565185547,9.01541805267334
FAMILY-65,FATHER,FM065_F4.png,bending,3,0,0,0.4950000047683716,,,3,0,0,0,0,0,0,0,0.0,0.0,,,,
FAMILY-65,FATHER,FM065_F5.png,bending,0,0,0,,,,0,0,0,0,0,0,0,0,0.0,0.0,,,,
FAMILY-65,MOTHER,FM065_M1.png,bending,0,0,0,,,,0,0,0,0,0,0,0,0,0.0,0.0,,,,
FAMILY-65,MOTHER,FM065_M2.png,bending,3,1,3,0.4216666519641876,0.4950000047683716,0.4950000047683716,2,1,3,1,0,0,0,0,0.0,0.0,,,,
FAMILY-65,MOTHER,FM065_M3.png,bending,0,0,0,,,,0,0,0,0,0,0,0,0,0.0,0.0,,,,
FAMILY-65,MOTHER,FM065_M4.png,bending,8,2,2,0.45375001430511475,0.38499999046325684,0.4125000238418579,4,1,0,4,1,2,1,1,0.125,0.125,14.560219764709473,1.0,14.560219764709473,1.0
FAMILY-65,MOTHER,FM065_M5.png,bending,0,0,0,,,,0,0,0,0,0,0,0,0,0.0,0.0,,,,
FAMILY-66,CHILD,FM066_C1.png,bending,0,1,0,,0.4950000047683716,,0,1,0,0,0,0,0,0,0.0,0.0,,,,
FAMILY-66,CHILD,FM066_C2.png,bending,2,3,2,0.4950000047683716,0.34833335876464844,0.33000001311302185,2,1,1,0,2,1,1,0,0.5,0.0,8.062257766723633,,8.062257766723633,
FAMILY-66,CHILD,FM066_C3.png,bending,5,11,10,0.40700000524520874,0.4400000274181366,0.33660000562667847,3,7,6,2,4,4,1,3,0.2,0.6,9.433980941772461,9.347886880238852,9.433980941772461,9.433980941772461
FAMILY-66,CHILD,FM066_C4.png,bending,6,2,2,0.42166662216186523,0.3959999978542328,0.23100000619888306,4,2,1,2,0,1,1,1,0.16666666666666666,0.16666666666666666,6.082762718200684,11.704699516296387,6.082762718200684,11.704699516296387
FAMILY-66,CHILD,FM066_C5.png,bending,0,1,2,,0.2750000059604645,0.28600001335144043,0,0,1,0,1,1,0,0,0.0,0.0,,,,
FAMILY-66,FATHER,FM066_F1.png,bending,12,7,0,0.5408332943916321,0.5735713839530945,,10,5,0,2,2,0,6,0,0.5,0.0,5.7582164605458575,,5.151543855667114,
FAMILY-66,FATHER,FM066_F2.png,bending,2,0,1,0.2750000059604645,,0.4950000047683716,0,0,1,2,0,0,0,0,0.0,0.0,,,,
FAMILY-66,FATHER,FM066_F3.png,bending,34,21,9,0.26464706659317017,0.35461902618408203,0.34833329916000366,6,9,3,28,12,6,13,5,0.38235294117647056,0.14705882352941177,7.317879970257099,6.127749800682068,5.830951690673828,8.0
FAMILY-66,FATHER,FM066_F4.png,bending,10,10,10,0.4092000126838684,0.3410000205039978,0.39819997549057007,7,3,7,3,7,3,1,2,0.1,0.2,12.165525436401367,4.7360680103302,12.165525436401367,4.7360680103302
FAMILY-66,FATHER,FM066_F5.png,bending,0,10,8,,0.43119996786117554,0.5293749570846558,0,8,7,0,2,1,0,0,0.0,0.0,,,,
FAMILY-66,MOTHER,FM066_M1.png,bending,1,0,0,0.4950000047683716,,,1,0,0,0,0,0,0,0,0.0,0.0,,,,
FAMILY-66,MOTHER,FM066_M2.png,bending,0,1,1,,0.4950000047683716,0.2750000059604645,0,1,0,0,0,1,0,0,0.0,0.0,,,,
FAMILY-66,MOTHER,FM066_M3.png,bending,1,0,7,0.4950000047683716,,0.3692857623100281,1,0,3,0,0,4,0,1,0.0,1.0,,6.324555397033691,,6.324555397033691
FAMILY-66,MOTHER,FM066_M4.png,bending,6,1,4,0.3116666376590729,0.296999990940094,0.5637500286102295,1,1,3,5,0,1,0,1,0.0,0.16666666666666666,,15.0,,15.0
FAMILY-66,MOTHER,FM066_M5.png,bending,0,11,0,,0.375,,0,5,0,0,6,0,0,0,0.0,0.0,,,,
FAMILY-67,CHILD,FM067_C1.png,bending,67,53,45,0.41898512840270996,0.3559434711933136,0.3639777600765228,25,22,21,42,31,24,31,18,0.4626865671641791,0.26865671641791045,9.078277818618282,10.370648278130425,9.219544410705566,10.315073013305664
FAMILY-67,CHILD,FM067_C2.png,bending,54,44,54,0.3495555818080902,0.3802500069141388,0.38642603158950806,25,24,30,29,20,24,13,15,0.24074074074074073,0.2777777777777778,9.822290310492882,8.22985356648763,10.049875259399414,9.219544410705566
FAMILY-67,CHILD,FM067_C3.png,bending,15,35,33,0.346866637468338,0.4186285436153412,0.40833330154418945,9,27,20,6,8,13,8,3,0.5333333333333333,0.2,5.9743863344192505,9.16915512084961,5.049509763717651,9.05538558959961
FAMILY-67,CHILD,FM067_C4.png,bending,27,38,54,0.3691110908985138,0.3690788745880127,0.35261115431785583,14,21,20,13,17,34,12,9,0.4444444444444444,0.3333333333333333,8.510492960611979,8.416871282789442,8.9721360206604,9.848857879638672
FAMILY-67,CHILD,FM067_C5.png,bending,42,42,42,0.37138092517852783,0.34361904859542847,0.32161903381347656,27,16,14,15,26,28,19,13,0.4523809523809524,0.30952380952380953,8.954827208268014,8.39958066206712,9.486832618713379,8.246211051940918
FAMILY-67,FATHER,FM067_F1.png,bending,8,15,11,0.37675002217292786,0.4620000123977661,0.4050000011920929,6,11,7,2,4,4,0,1,0.0,0.125,,10.29563045501709,,10.29563045501709
FAMILY-67,FATHER,FM067_F2.png,bending,39,55,45,0.340999960899353,0.36760005354881287,0.3248666524887085,17,24,15,22,31,30,18,14,0.46153846153846156,0.358974358974359,8.627497580316332,7.858098813465664,9.53420114517212,8.9442720413208
FAMILY-67,FATHER,FM067_F3.png,bending,36,46,27,0.3189999759197235,0.33860865235328674,0.4012962579727173,13,22,16,23,24,11,19,3,0.5277777777777778,0.08333333333333333,8.736416515551115,4.200775146484375,9.486832618713379,2.0
FAMILY-67,FATHER,FM067_F4.png,bending,11,19,16,0.47999998927116394,0.37921053171157837,0.37812498211860657,8,10,4,3,9,12,3,3,0.2727272727272727,0.2727272727272727,6.953404426574707,12.676498730977377,7.211102485656738,12.369317054748535
FAMILY-67,FATHER,FM067_F5.png,bending,20,12,3,0.3904999792575836,0.4216666519641876,0.4950000047683716,11,8,3,9,4,0,9,3,0.45,0.15,7.622914738125271,8.630234400431315,8.062257766723633,9.05538558959961
FAMILY-67,MOTHER,FM067_M1.png,bending,18,39,30,0.41188886761665344,0.4013589322566986,0.39416661858558655,13,28,19,5,11,11,6,1,0.3333333333333333,0.05555555555555555,9.501347541809082,5.830951690673828,8.876782178878784,5.830951690673828
FAMILY-67,MOTHER,FM067_M2.png,bending,43,43,44,0.39791861176490784,0.2969999611377716,0.29499998688697815,27,14,15,16,29,29,15,19,0.3488372093023256,0.4418604651162791,9.100084718068441,9.234627573113693,9.05538558959961,9.486832618713379
FAMILY-67,MOTHER,FM067_M3.png,bending,13,16,39,0.43661534786224365,0.38843750953674316,0.2992563545703888,11,7,10,2,9,29,6,6,0.46153846153846156,0.46153846153846156,8.43015170097351,10.05855679512024,8.14530611038208,9.18912649154663
FAMILY-67,MOTHER,FM067_M4.png,bending,54,43,28,0.3141110837459564,0.3243720829486847,0.3885357081890106,24,16,16,30,27,12,28,18,0.5185185185185185,0.3333333333333333,9.286049238273076,9.229009283913506,9.924428939819336,8.59524154663086
FAMILY-67,MOTHER,FM067_M5.png,bending,6,7,15,0.4033333361148834,0.3441428542137146,0.29846668243408203,4,4,5,2,3,10,0,1,0.0,0.16666666666666666,,8.9442720413208,,8.9442720413208
FAMILY-78,CHILD,FM078_C1.png,bending,0,10,7,,0.3630000054836273,0.4462856650352478,0,4,5,0,6,2,0,0,0.0,0.0,,,,
FAMILY-78,CHILD,FM078_C2.png,bending,0,0,0,,,,0,0,0,0,0,0,0,0,0.0,0.0,,,,
FAMILY-78,CHILD,FM078_C3.png,bending,0,2,3,,0.4950000047683716,0.31166666746139526,0,2,1,0,0,2,0,0,0.0,0.0,,,,
FAMILY-78,CHILD,FM078_C4.png,bending,2,0,3,0.2750000059604645,,0.6600000262260437,0,0,3,2,0,0,0,0,0.0,0.0,,,,
FAMILY-78,CHILD,FM078_C5.png,bending,0,1,0,,0.2750000059604645,,0,0,0,0,1,0,0,0,0.0,0.0,,,,
FAMILY-78,FATHER,FM078_F1.png,bending,8,13,8,0.5362499952316284,0.4154615104198456,0.5293750166893005,5,8,7,3,5,1,2,1,0.25,0.125,5.102934122085571,2.8284270763397217,5.102934122085571,2.8284270763397217
FAMILY-78,FATHER,FM078_F2.png,bending,5,4,15,0.32339999079704285,0.5087499618530273,0.2779333293437958,2,2,3,3,2,12,1,2,0.2,0.4,7.280109882354736,7.193406581878662,7.280109882354736,7.193406581878662
FAMILY-78,FATHER,FM078_F3.png,bending,5,4,2,0.5103999972343445,0.5637500286102295,0.6324999928474426,4,3,1,1,1,1,1,1,0.2,0.2,2.0,2.2360680103302,2.0,2.2360680103302
FAMILY-78,FATHER,FM078_F4.png,bending,0,1,0,,0.2750000059604645,,0,0,0,0,1,0,0,0,0.0,0.0,,,,
FAMILY-78,FATHER,FM078_F5.png,bending,0,4,3,,0.5637500286102295,0.4216666519641876,0,3,2,0,1,1,0,0,0.0,0.0,,,,
FAMILY-78,MOTHER,FM078_M1.png,bending,2,2,7,0.2750000059604645,0.4950000047683716,0.43214279413223267,0,2,5,2,0,2,0,1,0.0,0.5,,11.704699516296387,,11.704699516296387
FAMILY-78,MOTHER,FM078_M2.png,bending,3,3,4,0.34833332896232605,0.31166669726371765,0.38499999046325684,1,1,2,2,2,2,2,1,0.6666666666666666,0.3333333333333333,4.622520208358765,9.05538558959961,4.622520208358765,9.05538558959961
FAMILY-78,MOTHER,FM078_M3.png,bending,3,3,2,0.4216666519641876,0.4950000047683716,0.38499999046325684,2,3,1,1,0,1,0,0,0.0,0.0,,,,
FAMILY-78,MOTHER,FM078_M4.png,bending,7,4,9,0.40071433782577515,0.35750001668930054,0.3361111283302307,4,2,3,3,2,6,0,1,0.0,0.14285714285714285,,10.29563045501709,,10.29563045501709
FAMILY-78,MOTHER,FM078_M5.png,bending,3,6,3,0.3556666672229767,0.4253333508968353,0.4950000047683716,2,5,3,1,1,0,2,0,0.6666666666666666,0.0,6.5380584597587585,,6.5380584597587585,
FAMILY-9,CHILD,FM009_C1.png,bending,7,12,9,0.3850000202655792,0.4491666555404663,0.3630000054836273,4,10,5,3,2,4,4,1,0.5714285714285714,0.14285714285714285,9.74626636505127,7.280109882354736,9.577056884765625,7.280109882354736
FAMILY-9,CHILD,FM009_C2.png,bending,21,23,16,0.37347617745399475,0.3677825927734375,0.3148750066757202,13,13,7,8,10,9,8,7,0.38095238095238093,0.3333333333333333,7.424638390541077,9.310681411198207,8.031128883361816,9.219544410705566
FAMILY-9,CHILD,FM009_C3.png,bending,29,36,28,0.40358614921569824,0.32205551862716675,0.35828566551208496,17,13,12,12,23,16,11,9,0.3793103448275862,0.3103448275862069,8.819170063192194,11.294062084621853,7.211102485656738,12.0
FAMILY-9,CHILD,FM009_C4.png,bending,56,52,40,0.38126784563064575,0.3790769875049591,0.3277999758720398,31,27,14,25,25,26,28,19,0.5,0.3392857142857143,9.023170948028564,7.9195449038555745,9.081908226013184,8.5440034866333
FAMILY-9,CHILD,FM009_C5.png,bending,61,65,61,0.44991812109947205,0.4215538203716278,0.38788533210754395,48,52,41,13,13,20,39,34,0.639344262295082,0.5573770491803278,7.908744439100608,8.677625922595753,8.062257766723633,8.77200174331665
FAMILY-9,FATHER,FM009_F1.png,bending,47,35,41,0.3690851032733917,0.34477144479751587,0.3562926650047302,22,13,18,25,22,23,21,17,0.44680851063829785,0.3617021276595745,8.812787027586074,8.22388012268964,8.9442720413208,9.433980941772461
FAMILY-9,FATHER,FM009_F2.png,bending,50,37,47,0.3335200250148773,0.3267296850681305,0.30589359998703003,25,15,18,25,22,29,25,26,0.5,0.52,7.7397793006896975,7.8995841924960795,7.071067810058594,7.245606184005737
FAMILY-9,FATHER,FM009_F3.png,bending,68,65,77,0.3875882625579834,0.4243461489677429,0.3465714454650879,44,37,25,24,28,52,34,37,0.5,0.5441176470588235,7.344712930567124,7.861415756715311,7.447941541671753,8.062257766723633
